,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
gamma,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39
MaxDD,0.05000000000000002,0.06000000000000011,0.07000000000000006,0.08000000000000007,0.09000000000000008,0.10000000000000006,0.11000000000000003,0.12000000000000002,0.13000000000000003,0.14000000000000007,0.15000000000000008,0.16000000000000003,0.17000000000000004,0.18,0.19000000000000003,0.20000000000000004,0.21,0.22,0.22999999999999995,0.24000000000000016,0.2500000000000001,0.2600000000000001,0.27000000000000024,0.28000000000000014,0.29000000000000004,0.30000000000000004,0.31000000000000005,0.32000000000000006,0.3300000000000002,0.3400000000000001,0.3500000000000003,0.3600000000000002,0.37000000000000033,0.38000000000000006,0.39000000000000007
ObjVal,0.4396505549427334,0.5494494335538329,0.6592483121649325,0.7669118520216964,0.8710920341016896,0.9707026310192155,1.0544596168379479,1.115830235918972,1.1771662441821957,1.2384241606391109,1.2996820770960253,1.36093999355294,1.4221979100098547,1.4834031749919232,1.5444661791490821,1.605529183306241,1.6665921874633998,1.7276551916205585,1.788692836000667,1.8380339549716587,1.8842921351185509,1.9305503152654433,1.9768084954123355,2.023066675559228,2.0693248557061197,2.1155830358530126,2.1618412159999045,2.2080993961467965,2.2543575762936894,2.3006064314014303,2.3467851060299245,2.3928537101291876,2.437539064475311,2.482144787858981,2.526750511242651
Reward/Risk,8.793011098854665,9.157490559230531,9.417833030927598,9.586398150271197,9.678800378907653,9.707026310192148,9.585996516708615,9.298585299324765,9.055124955247658,8.84588686170793,8.664547180640165,8.505874959705874,8.365870058881496,8.241128749955129,8.128769363942537,8.027645916531204,7.936153273635237,7.852978143729811,7.776925373915946,7.658474812381906,7.5371685404742,7.425193520251701,7.321512945971606,7.225238126997239,7.135602950710757,7.051943452843374,6.973681341935174,6.900310612958738,6.831386594829358,6.766489504121852,6.705100302942635,6.646815861469961,6.587943417500835,6.531959968049949,6.478847464724746
0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
5,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
6,0.23974460967448516,0.31894333963801,0.3981420696015354,0.47950695487295214,0.56440546867151,0.6877170675648573,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
7,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
8,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01758511348924045,0.0585658069570581,0.09954650042488351,0.14052719389270293,0.18150788736052578,0.24163360046174975,0.3534878984489057,0.4653421964360596,0.5771964944232185,0.6890507924103748,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
9,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.03390656287241373,0.03080866248681192,0.027710762101210255,0.024612861715608215,0.021514961330006417,0.01841706094440411,0.015319160558802131,0.012221260173200566,0.009123359787598583,0.006025459401996787,0.005,0.01957178357736112,0.05860616427216534,0.1173106709810043,0.17714754808248392,0.23698442518396454
10,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
11,0.5197930509171739,0.6267439687082886,0.7336948864994026,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
12,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
