,0,1,2,3,4,5,6,7,8,9,10
gamma,0.0077,0.01,0.0123,0.0146,0.0169,0.019200000000000002,0.0215,0.0238,0.026099999999999998,0.0284,0.030699999999999998
cdar,0.007699999999999998,0.010000000000000007,0.012300000000000012,0.014600000000000009,0.016900000000000002,0.01920000000000006,0.02150000000000001,0.02380000000000002,0.026099999999999967,0.02840000000000006,0.030699999999999925
avg_dd,0.0034823882411289457,0.004549481968424765,0.00560115693798065,0.006697677040227244,0.007742464321384853,0.008839425573070245,0.009936975410221585,0.011069754600415252,0.012238511994457461,0.013373563574850022,0.014698908486236562
ObjVal,0.21211466851299302,0.2565214395007813,0.299803312639899,0.34270352095975126,0.37476195190286155,0.38647505758620293,0.39516080058734543,0.40219090784906714,0.40881746784341544,0.414692523928799,0.41910951060801055
Reward/Risk (CDaR),27.54735954714196,25.652143950078113,24.374253060154366,23.47284390135281,22.175263426204822,20.12890924928134,18.379572120341642,16.898777640717093,15.663504515073408,14.60184943411261,13.651775589837511
Reward/Risk (AvDD),60.91068939637476,56.3847579309344,53.52524772283656,51.16751955960596,48.4034457695544,43.7217389740368,39.76670810525169,36.33241407483234,33.40418083738933,31.008378702342213,28.51296822484792
z,0.0029722946343191028,0.003852985896676093,0.004695541526894758,0.005700746117992218,0.006697968203133436,0.00746265643120709,0.008840729477029505,0.00993462937023446,0.011177757908163275,0.012723024591456768,0.01498341794983643
alpha,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
max_dd,0.0403131945243711,0.0522700969760255,0.06408581621689607,0.07482104751518637,0.08879737526698911,0.09656461106901387,0.09886098559867601,0.10285447721292029,0.10584936532137418,0.1087056713125018,0.11438627374340837
GOOGL,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
NWS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
META,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CMCSA,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
LYV,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005039474362091845,0.0292042163971607,0.00885520577170501
DIS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
TJX,0.06600549517609737,0.07954889204034545,0.10381471218771779,0.13400386863023458,0.10054063554022774,0.04678856495829689,0.03985669678946033,0.019887380276089883,0.001,0.001,0.001
BKNG,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
LOW,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CMG,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COST,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MNST,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
KMI,0.08091630010941321,0.10182027046863727,0.12241800030429381,0.1489181745558079,0.15309529701247782,0.17608826349654397,0.24317676720443712,0.2821373850991659,0.2862996822024675,0.29909058939217487,0.2925832290775087
JPM,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AJG,0.05245855120926994,0.06417953412355108,0.07117273332894564,0.08184406616976425,0.1361272707899107,0.18611245566351492,0.20083344120922114,0.21688918230379217,0.2462975205478626,0.21873839341224247,0.12179653487681252
GS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
