,0,1,2,3,4,5,6,7,8,9,10
LIN,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
VICI,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AES,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
EWJ,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
EWY,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
FXI,0.08782383429650688,0.09531482488993757,0.08962805797914108,0.09739196438874347,0.09026371513633984,0.09619280729982525,0.09790880160878603,0.07883520850145621,0.060424268248389666,0.02780064420847899,0.02587691125643186
FEZ,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
GLD,0.2985411062141683,0.19398247260597568,0.18877714550013724,0.2039481585598148,0.19123994765724636,0.17493533526696958,0.1515131053263619,0.11047097178991246,0.10508753849897373,0.07360261794372117,0.07195999676609874
GSG,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SLV,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
TLT,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SHY,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
BIL,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
