,alpha,gamma,R,MaxDD,AvDD,CDaR,c-label
0,1.0,0.077,0.3347940427378257,0.07700000000000004,0.01194260270839995,,0% CDaR
1,1.0,0.1,0.3581351871235075,0.10000000000000009,0.011905784554504506,,0% CDaR
2,1.0,0.12300000000000001,0.3736611987135686,0.123,0.014273110799936333,,0% CDaR
3,1.0,0.14600000000000002,0.3873752877109284,0.14600000000000013,0.017824150849172354,,0% CDaR
4,1.0,0.16900000000000004,0.4010893767082882,0.16900000000000015,0.0223929131044072,,0% CDaR
5,1.0,0.19200000000000003,0.41398405601737137,0.19200000000000006,0.028478396765765374,,0% CDaR
6,1.0,0.21500000000000002,0.42645729261264037,0.21500000000000008,0.035202151279938185,,0% CDaR
7,1.0,0.23800000000000004,0.43663151374369874,0.23800000000000016,0.0407880899282057,,0% CDaR
8,1.0,0.26100000000000007,0.44581881011040975,0.2610000000000001,0.04637521450167441,,0% CDaR
9,1.0,0.2840000000000001,0.45060274092886005,0.2840000000000001,0.05099007474990464,,0% CDaR
10,1.0,0.30700000000000005,0.45466151839073127,0.3070000000000002,0.056007657768120625,,0% CDaR
11,0.95,0.077,0.37562801839458004,0.13134528501754866,0.01830868907596975,0.07700000000000004,5% CDaR
12,0.95,0.1,0.38823555681370386,0.16121727180104317,0.024977878143805907,0.10000000000000005,5% CDaR
13,0.95,0.12300000000000001,0.3974199134858871,0.1889788250669786,0.030787090674149135,0.12300000000000008,5% CDaR
14,0.95,0.14600000000000002,0.40408485537759586,0.21408329994137038,0.03589915873872099,0.14600000000000016,5% CDaR
15,0.95,0.16900000000000004,0.41050362522508677,0.23749895411367444,0.03892699258728861,0.16900000000000012,5% CDaR
16,0.95,0.19200000000000003,0.416500860544204,0.25912599366052935,0.04196528565704354,0.19200000000000012,5% CDaR
17,0.95,0.21500000000000002,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.21500000000000005,5% CDaR
18,0.95,0.23800000000000004,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.2380000000000001,5% CDaR
19,0.95,0.26100000000000007,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.2610000000000001,5% CDaR
20,0.95,0.2840000000000001,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.28400000000000014,5% CDaR
21,0.95,0.30700000000000005,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.30700000000000016,5% CDaR
22,0.6,0.077,0.4082799384253285,0.22718851699624681,0.03427028913552998,0.07699999999999989,40% CDaR
23,0.6,0.1,0.42052406819076726,0.27361515120113844,0.04469578756270685,0.09999999999999987,40% CDaR
24,0.6,0.12300000000000001,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.10146350467929752,40% CDaR
25,0.6,0.14600000000000002,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.10146350467929752,40% CDaR
26,0.6,0.16900000000000004,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.10027247667964982,40% CDaR
27,0.6,0.19200000000000003,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.10027247667964982,40% CDaR
28,0.6,0.21500000000000002,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.10027247667964982,40% CDaR
29,0.6,0.23800000000000004,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.10027247667964982,40% CDaR
30,0.6,0.26100000000000007,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.10027247667964982,40% CDaR
31,0.6,0.2840000000000001,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.10027247667964982,40% CDaR
32,0.6,0.30700000000000005,0.42062756157311887,0.2740075718547177,0.04479591261755752,0.10027247667964982,40% CDaR
33,0.0,0.077,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
34,0.0,0.1,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
35,0.0,0.12300000000000001,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
36,0.0,0.14600000000000002,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
37,0.0,0.16900000000000004,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
38,0.0,0.19200000000000003,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
39,0.0,0.21500000000000002,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
40,0.0,0.23800000000000004,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
41,0.0,0.26100000000000007,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
42,0.0,0.2840000000000001,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
43,0.0,0.30700000000000005,0.46102562527004504,0.3522562270345536,0.06521364709353547,,100% CDaR
